,PETAL - A BIONIC BUTTERFLY (BOM),,,,
,,,,,
,,,,,
,DATE - 25-09-2026,,AUTHOR: RYTHM RAJ (@rythmmm on pixl),,
,,,,,
S.NO.,Name,Quantity,buying link,price in INR,price in USD
1,,,,,
2,Arduino Pro Micro,1,https://www.amazon.in/gp/product/B0H9YZ9P35/ref=ewc_pr_img_1?smid=A31S66SMNGFXRB&psc=1,550 inr,5.73 usd
3,PTK 7465 MG-D 9g Servo,2,https://www.amazon.in/gp/product/B0HF3YGD7R/ref=ox_sc_act_title_3?smid=A1DYT48Q92ZGUJ&th=1,1999*2 = 3998 inr,41.67 usd
4,FlySky FS-i6 2.4GHz 6 Channel RC Transmitter,1,https://www.amazon.in/gp/product/B0DP6HCN9V/ref=ox_sc_act_title_1?smid=AJ6SIZC8YQDZX&psc=1,6399 inr,66.69 usd
5,FlySky FS-A8S 2.4G 8CH Mini Receiver,1,https://www.amazon.in/gp/product/B0DP4WZFP2/ref=ox_sc_act_title_2?smid=AJ6SIZC8YQDZX&psc=1,1724 inr,17.97 usd
6,FABRIC(1) - Flowers Waterproof Floral Wrapping Paper,1,https://www.amazon.in/gp/product/B0DHSC99L6/ref=ewc_pr_img_1?smid=A11SOKBUQ5CS65&th=1,285 inr,2.97 usd
7,Carbon Fibre Rod (Solid) 1.5mm * 1000mm,3,https://robu.in/product/pultruded-carbon-fibre-rod-solid-1-5mm-1000mm-pack-of-4/,579*3 = 1737 inr,18.10 usd
8,Carbon Fibre Rod (Solid) 0.8mm * 1000mm,2,https://robu.in/product/pultruded-carbon-fibre-rod-solid-0-8mm-1000mm/,529*2 = 1058 inr,11.03 usd
9,Superglue,1,https://www.amazon.in/gp/product/B0H6GRDD79/ref=ox_sc_act_title_6?smid=A2F5WE5JCZAJTD&th=1,105 inr,1.09 usd
10,multimeter,1,https://www.amazon.in/gp/product/B097RS212G/ref=ox_sc_act_title_1?smid=AJ6SIZC8YQDZX&psc=1,798 inr,8.32 usd
11,soldering station,1,https://www.amazon.in/gp/product/B0HDYGL2C3/ref=ewc_pr_img_1?smid=A2K5VGK3OPN02U&psc=1,549 inr,5.72 usd
12,Soldering Iron,1,https://www.amazon.in/gp/product/B0G2H4J193/ref=ewc_pr_img_1?smid=A3T8K809Q96RB6&th=1,1599 inr,16.66 usd
13,Battery Charger,1,https://www.amazon.in/gp/product/B0H41GF89X/ref=ewc_pr_img_1?smid=A3K0FQVTANK4PI&psc=1,316 inr,3.29 usd
,,,,,
14,"Battery - 2s lipo, 180 or 220 mAh (2 batteries)",2,"CANNOT FIND ONLINE, OFFLINE MARKET (RECEIPT WILL BE PRODUCED) [HARDWARE GRANT CAN COVER IT]",,10 usd
15,FABRIC(2) - Thin marking cloth,1,"CANNOT FIND ONLINE, OFFLINE MARKET (RECEIPT WILL BE PRODUCED) [HARDWARE GRANT CAN COVER IT]",,10 usd
,,,,,
16,3d printing of parts (5 parts in total),5,"CANNOT FIND ONLINE, OFFLINE MARKET (RECEIPT WILL BE PRODUCED) [3D PRINTING GRANT CAN COVER IT]",,10 usd
17,Wood laser cnc for one design,1,"CANNOT FIND ONLINE, OFFLINE MARKET (RECEIPT WILL BE PRODUCED) [3D PRINTING GRANT CAN COVER IT]",,10 usd
,,,,,
,,,Total = ,"19,118 inr",238.81 USD WITH GRANTS
,,,,,198.81 USD WITHOUT GRANTS
